Campaign_ID,Campaign_Name,Marketing_Channel,Start_Date,End_Date,Impressions,Clicks,Conversions,Total_Spend,Revenue_Generated,Location,Age_Group,Gender,Duration_Days,ROI,CTR,Conversion_Rate,CPA
CMP1,Seasonal Steals,Influencer Marketing,2022-08-01,2024-04-26,22068.8,3283.2,2155.2,2316.656,8879.568,Baia Mare,25-34,Male,634,2.833,0.149,0.656,1.075
CMP2,Cart to Couch,Influencer Marketing,2022-09-18,2024-05-12,32849.6,3307.2,3164.8,7114.128,17302.032,Baia Mare,25-34,Male,602,1.432,0.101,0.957,2.248
CMP3,Deal of the Day,Paid Ads,2022-07-26,2024-04-07,12748.8,7494.4,7334.4,3358.448,4892.416,Galați,45-54,Female,621,0.457,0.588,0.979,0.458
CMP4,Shop & Share,Paid Ads,2022-08-21,2024-04-26,40196.8,21150.4,3032.0,4426.976,16548.544,Galați,18-24,Male,614,2.738,0.526,0.143,1.46
CMP5,Seasonal Steals,Paid Ads,2023-03-04,2024-11-04,4030.4,2806.4,2556.8,2331.776,3538.224,Galați,45-54,Male,611,0.517,0.696,0.911,0.912
CMP6,Seasonal Steals,Influencer Marketing,2023-01-02,2024-09-17,76406.4,41544.0,31019.2,169.472,559.84,Bacău,45-54,Male,624,2.303,0.544,0.747,0.005
CMP7,Wishlist Wonders,Email,2022-07-31,2024-03-26,23641.6,20963.2,20100.8,7501.024,10119.792,Bacău,45-54,Male,604,0.349,0.887,0.959,0.373
CMP8,Seasonal Steals,Influencer Marketing,2022-05-18,2024-01-20,59968.0,57536.0,51075.2,7622.88,16616.816,Târgu Mureș,55+,Male,612,1.18,0.959,0.888,0.149
CMP9,Cart to Couch,Email,2023-01-16,2024-10-04,18625.6,11414.4,7296.0,2765.632,9446.56,Galați,18-24,Female,627,2.416,0.613,0.639,0.379
CMP10,Flash Sale Frenzy,Social Media,2022-05-18,2024-01-26,67654.4,8792.0,294.4,1008.992,3153.488,Târgu Mureș,45-54,Female,618,2.125,0.13,0.033,3.427
CMP11,Wishlist Wonders,Influencer Marketing,2022-09-28,2024-05-23,17712.0,16457.6,12174.4,7745.536,28954.0,Galați,35-44,Male,603,2.738,0.929,0.74,0.636
CMP12,Deal of the Day,Influencer Marketing,2022-05-11,2024-01-15,68145.6,51972.8,46969.6,2790.032,7765.088,Bacău,55+,Male,614,1.783,0.763,0.904,0.059
CMP13,Cart to Couch,Influencer Marketing,2023-02-15,2024-11-05,31806.4,2144.0,902.4,2035.264,6360.464,Baia Mare,35-44,Male,629,2.125,0.067,0.421,2.255
CMP14,Seasonal Steals,Influencer Marketing,2023-01-06,2024-09-23,19315.2,18401.6,16984.0,2242.352,8380.224,Baia Mare,35-44,Female,626,2.737,0.953,0.923,0.132
CMP15,Wishlist Wonders,Email,2022-08-22,2024-04-21,19691.2,14049.6,4806.4,2096.944,5969.664,Galați,45-54,Male,608,1.847,0.713,0.342,0.436
CMP16,Deal of the Day,Influencer Marketing,2022-12-12,2024-08-22,7153.6,4360.0,20.8,5106.656,8717.104,Baia Mare,45-54,Male,619,0.707,0.609,0.005,245.512
CMP17,Flash Sale Frenzy,Social Media,2022-06-18,2024-03-09,79350.4,40524.8,36595.2,3631.536,11076.592,Bacău,35-44,Female,630,2.05,0.511,0.903,0.099
CMP18,Flash Sale Frenzy,Social Media,2022-10-25,2024-07-13,48793.6,30496.0,3577.6,6488.288,19607.952,Galați,55+,Female,627,2.022,0.625,0.117,1.814
CMP19,Shop & Share,Email,2022-08-20,2024-04-23,52612.8,14624.0,2571.2,4529.312,18104.72,Baia Mare,45-54,Male,612,2.997,0.278,0.176,1.762
CMP20,Shop & Share,Email,2022-11-27,2024-07-28,71241.6,17339.2,2238.4,6193.296,16694.144,Galați,45-54,Female,609,1.696,0.243,0.129,2.767
CMP21,Cart to Couch,Email,2022-11-28,2024-08-18,62779.2,10782.4,3782.4,575.872,1391.92,Târgu Mureș,55+,Male,629,1.417,0.172,0.351,0.152
CMP22,Deal of the Day,Social Media,2022-12-19,2024-08-22,56281.6,21192.0,18920.0,6141.296,23638.8,Baia Mare,35-44,Female,612,2.849,0.377,0.893,0.325
CMP23,Shop & Share,Paid Ads,2022-10-27,2024-06-25,45427.2,20198.4,764.8,274.032,932.064,Târgu Mureș,35-44,Male,607,2.401,0.445,0.038,0.358
CMP24,Deal of the Day,Paid Ads,2023-01-20,2024-09-20,22196.8,20416.0,15408.0,3144.064,11309.744,Baia Mare,35-44,Male,609,2.597,0.92,0.755,0.204
CMP25,Cart to Couch,Influencer Marketing,2023-02-19,2024-11-07,54289.6,33793.6,19043.2,3723.936,14057.808,Suceava,18-24,Male,627,2.775,0.622,0.564,0.196
CMP26,Cart to Couch,Paid Ads,2022-07-07,2024-03-07,55606.4,7427.2,2193.6,6996.736,14646.368,Galați,55+,Female,609,1.093,0.134,0.295,3.19
CMP27,Cart to Couch,Email,2023-03-01,2024-10-28,73024.0,70976.0,68337.6,2101.456,3769.68,Galați,25-34,Female,607,0.794,0.972,0.963,0.031
CMP28,Flash Sale Frenzy,Social Media,2022-12-25,2024-08-30,40072.0,5265.6,3145.6,1856.912,2793.712,Târgu Mureș,55+,Male,614,0.504,0.131,0.597,0.59
CMP29,Deal of the Day,Paid Ads,2022-07-16,2024-03-21,79264.0,29158.4,17120.0,6980.944,17293.088,Bacău,35-44,Female,614,1.477,0.368,0.587,0.408
CMP30,Shop & Share,Email,2022-06-10,2024-02-16,58644.8,45990.4,37137.6,3485.408,10232.656,Baia Mare,25-34,Male,616,1.936,0.784,0.808,0.094
CMP31,Cart to Couch,Social Media,2023-02-07,2024-10-22,32249.6,22425.6,5841.6,4420.928,9654.288,Suceava,18-24,Male,623,1.184,0.695,0.26,0.757
CMP32,Flash Sale Frenzy,Paid Ads,2022-12-07,2024-08-07,42822.4,34635.2,33246.4,4084.48,15225.328,Galați,25-34,Male,609,2.728,0.809,0.96,0.123
